Format version	Start date	End date	Sender	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	Spotify	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
ES	Videophonic	A	spotify:track:2RAcTjOEQbguUHQiJsuRXb		7502258850688	MX2831001198	El joropo	Alejandro Corona, Mario Ruiz Armengol	N/A	33 Piezas para niños	1	0.003887288817377312952534191472
NO	Quindecim Recordings	P	spotify:track:3lefQy1Mevon53dpeu415Y		7509708071808	MX2831200466	I Wanna Be Loved By You	Pedro kominik, Herbert Stothart / Harry Ruby / Bert Kalmar	N/A	Quza´s, Quiza´s…	1	0.01109275362318840579710144928
ES	Quindecim Recordings	A	spotify:track:3BBSXkIkyXM7lyu4rDuGS8		7509708041313	MX2831201002	Seis canciones: I. Canción del Naranjo Seco	Muriel Bérard, Rosa Elvira Sierra, Salvador Moreno	N/A	De Bosques, Pampas y Amazonas	1	0.003887288817377312952534191472
GB	Cantus Records	U	spotify:track:3Uimz6tDP98Ih1fRSDKFrw		7502258850299	MX2831000722	Family of renaissance recorders: Gagliarda El tu tu	Various Artists, Anon 16th c.	N/A	Dictionary of Medieval & Renaissance Instruments	3	0.02006950354609929078014184397
ES	Cantus Records	A	spotify:track:3Uimz6tDP98Ih1fRSDKFrw		7502258850299	MX2831000722	Family of renaissance recorders: Gagliarda El tu tu	Various Artists, Anon 16th c.	N/A	Dictionary of Medieval & Renaissance Instruments	1	0.003887288817377312952534191472
US	Quindecim Recordings	U	spotify:track:4Sq207GtPJdiVdpb6MNiuS		7509708041290	MX2831201114	Vals Melancólico, Op. 36 No.2	Józef Olechowski, Ricardo Castro	N/A	Valses Mexicanos de Concierto (Mexican Waltzes)	2	0.01014383561643835616438356164
US	Quindecim Recordings	A	spotify:track:4Sq207GtPJdiVdpb6MNiuS		7509708041290	MX2831201114	Vals Melancólico, Op. 36 No.2	Józef Olechowski, Ricardo Castro	N/A	Valses Mexicanos de Concierto (Mexican Waltzes)	1	0.001042984542211652794292508918
CH	Cantus Records	P	spotify:track:4V1YVALNbPCLG6wuzm0WF3		7502258850169	MX2831000333	Introitus: Reminiscere miserationum/Alleluia	Dominique Vellard, Ensemble Gilles Binchois	N/A	Gregorian Chant	2	0.02308888888888888888888888888
ES	Cantus Records	P	spotify:track:4V1YVALNbPCLG6wuzm0WF3		7502258850169	MX2831000333	Introitus: Reminiscere miserationum/Alleluia	Dominique Vellard, Ensemble Gilles Binchois	N/A	Gregorian Chant	1	0.003887424633936261843238587425
US	Cantus Records	A	spotify:track:4V1YVALNbPCLG6wuzm0WF3		7502258850169	MX2831000333	Introitus: Reminiscere miserationum/Alleluia	Dominique Vellard, Ensemble Gilles Binchois	N/A	Gregorian Chant	1	0.001042984542211652794292508918
US	Cantus Records	A	spotify:track:5p04FW6Lm7cMcf0by5rYUx		7502258850299	MX2831000693	Viole da gamba: Tar tara	Various Artists, H. Isaac	N/A	Dictionary of Medieval & Renaissance Instruments	1	0.001042984542211652794292508918
GB	Cantus Records	U	spotify:track:5p04FW6Lm7cMcf0by5rYUx		7502258850299	MX2831000693	Viole da gamba: Tar tara	Various Artists, H. Isaac	N/A	Dictionary of Medieval & Renaissance Instruments	5	0.03344917257683215130023640662
ES	Cantus Records	A	spotify:track:5SSDu6stSlMcLHY2TxoWAg		7502258850282	MX2831000145	Si j'avoye Marion	Currende Consort, Erik van Nevel, Concerto Palatino, Concerto Palatino, J. Lebloitte dit Desprez, Currende Consor	N/A	Vous ou la mort: Flemish courtly love songs, 15th c.	27	0.1049567980691874497184231697
US	Quindecim Recordings	U	spotify:track:6lGzzmZF96tKehLxRA1CyX		7509708041290	MX2831201119	Vals Capricho, Op. 1	Józef Olechowski, Ricardo Castro	N/A	Valses Mexicanos de Concierto (Mexican Waltzes)	1	0.005071917808219178082191780822
ES	Cantus Records	P	spotify:track:0j55UpJkAmZaBVAA1bXeaZ		7502258850176	MX2831000385	Magnificat: XII.Sicut erat in principio	Raúl Mallavibarrena, Musica Ficta, Musica Ficta, Francisco Guerrero	N/A	Francisco Guerrero: Motets	1	0.003887424633936261843238587425
ES	Anima e Corpo Musica	P	spotify:track:0xK0ntmDnFoa7XYWAkfxOy		7502258850121	MX2831000250	Amor en extremos tales	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	21	0.08163591731266149870801033592
DE	Anima e Corpo Musica	A	spotify:track:0xK0ntmDnFoa7XYWAkfxOy		7502258850121	MX2831000250	Amor en extremos tales	Raquel Andueza & La Galanía, La Galanía, Raquel Andueza	N/A	Yo soy la locura	6	0.02332558139534883720930232558
